Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
ая,640,0.0027757537906387703,0.023574212353828217,,
дя,110,0.0004770826827660387,0.0052638789274453155,,
иг,270,0.0011710211304257312,0.011403423881495017,,
ля,362,0.0015700357378300544,0.014624862308320843,,
мя,165,0.000715624024149058,0.007477205172425602,,
ью,88,0.0003816661462128309,0.0043339721972895495,,
мв,196,0.0008500745983831235,0.008670865402237368,,
ьэ,36,0.00015613615072343083,0.0019743272257051244,,
ок,987,0.004280732799000729,0.03368049102247851,,
ещ,164,0.000711286908851185,0.007438126912737292,,
кн,276,0.0011970438222129696,0.011618876406437767,,
иш,159,0.0006896013323618195,0.007242158586699468,,
мп,268,0.0011623468998299851,0.011331421880415185,,
ис,1191,0.005165504319766837,0.039241691017386816,,
ып,148,0.0006418930640852157,0.0068075194835890435,,
уч,277,0.0012013809375108428,0.011654705328266287,,
зм,110,0.0004770826827660387,0.0052638789274453155,,
ьб,94,0.0004076888380000694,0.004590675759884684,,
ыо,67,0.0002905867249574963,0.0034140289200187885,,
вт,207,0.0008977828666597272,0.00908677086070217,,
ьу,53,0.00022986711078727318,0.0027783836129801,,
еш,234,0.0010148849797023004,0.0100924912585504,,
ым,390,0.0016914749661705007,0.015574259910789562,,
ын,154,0.0006679157558724541,0.007045206272233261,,
ыэ,13,5.638249887235002e-05,0.0007958047504999609,,
ях,59,0.00025588980257451165,0.0030533256726655348,,
юз,19,8.24051906595885e-05,0.0011179834145750125,,
уи,181,0.0007850178689150272,0.00809744902307545,,
хо,530,0.0022986711078727315,0.02014781599565271,,
ут,510,0.00221192880191527,0.01951027229032765,,
аг,387,0.0016784636202768813,0.015473156932125722,,
вп,248,0.0010756045938725236,0.010606145877702623,,
цу,45,0.00019517018840428855,0.0024050782651996055,,
гн,110,0.0004770826827660387,0.0052638789274453155,,
рл,52,0.0002255299954894001,0.0027321590110210435,,
аа,96,0.00041636306859581555,0.004675703246502443,,
ух,214,0.0009281426737448389,0.009349520654791438,,
аи,390,0.0016914749661705007,0.015574259910789562,,
зо,207,0.0008977828666597272,0.00908677086070217,,
ги,171,0.0007416467159362965,0.007710886264091062,,
хг,31,0.00013445057423406545,0.0017291199574150243,,
лу,414,0.0017955657333194545,0.016377975988084888,,
йш,72,0.00031227230144686166,0.0036363821499633873,,
хв,114,0.0004944311439575309,0.005429814521131194,,
вы,708,0.00307067763089414,0.02563164391342764,,
йф,12,5.2045383574476944e-05,0.0007405990565362363,,
аш,273,0.0011840324763193505,0.011511253285625817,,
ню,41,0.00017782172721279624,0.0022151751826099153,,
вш,262,0.0011363242080427466,0.01111485271210831,,
пл,243,0.001053919017383158,0.010423280444228324,,
