Буква,к-сть,Частота,Ентропія,Загальна Ентропія,Надлишковість
рж,64,0.0002335468097140876,0.0028175088622615758,,
шо,75,0.0002736876676336964,0.0032391433442499696,,
ьи,17,6.203587133030452e-05,0.0008670467006328512,,
бс,22,8.028171583921761e-05,0.0010921981444258605,,
гн,123,0.00044884777491926216,0.00499185430610832,,
жч,8,2.919335121426095e-05,0.0004397686614254798,,
юч,25,9.122922254456548e-05,0.0012243093447864045,,
яя,35,0.00012772091156239165,0.0016520339258379437,,
тч,62,0.00022624847191052237,0.002739824725098735,,
ох,131,0.00047804112613352307,0.005273069757014415,,
ща,135,0.0004926378017406536,0.0054127026877218406,,
иг,133,0.00048533946393708834,0.005342965392838965,,
ям,102,0.0003722152279818271,0.004240117797266708,,
жс,5,1.8245844508913096e-05,0.00028722740793747257,,
дс,116,0.00042330359260678383,0.0047435483752232615,,
ию,58,0.00021165179630339192,0.0025834259839150227,,
вп,46,0.00016786176948200047,0.0021050602278553207,,
оф,64,0.0002335468097140876,0.0028175088622615758,,
лж,69,0.00025179265422300073,0.0030103010811054773,,
вг,4,1.4596675607130476e-05,0.00023448100631987042,,
ыж,27,9.852756034813072e-05,0.001311314448037403,,
юм,12,4.379002682139143e-05,0.0006340374685421321,,
рм,54,0.00019705512069626143,0.0024255737753785447,,
бь,65,0.00023719597861587025,0.002856226882933632,,
ащ,85,0.0003101793566515226,0.0036150193405009986,,
ге,155,0.0005656211797763059,0.006101851284137203,,
ху,60,0.00021895013410695713,0.002661800874948361,,
щу,44,0.00016056343167843523,0.002023832857173286,,
зь,42,0.00015326509387486999,0.0019421267181030952,,
вз,122,0.00044519860601747953,0.0049565133034347114,,
рш,116,0.00042330359260678383,0.0047435483752232615,,
рз,16,5.83867024285219e-05,0.0008211506204224377,,
дш,25,9.122922254456548e-05,0.0012243093447864045,,
мч,10,3.649168901782619e-05,0.000537963126857119,,
ьт,53,0.0001934059517944788,0.002385871330009381,,
уй,39,0.00014231758716952214,0.0018186192949488666,,
хм,13,4.743919572317405e-05,0.0006813957779352246,,
яз,67,0.00024449431641943546,0.0029334211587364,,
зж,27,9.852756034813072e-05,0.001311314448037403,,
дм,25,9.122922254456548e-05,0.0012243093447864045,,
лч,40,0.00014596675607130477,0.0018599189952858664,,
гч,13,4.743919572317405e-05,0.0006813957779352246,,
ыр,70,0.0002554418231247833,0.0030486260285511038,,
вх,10,3.649168901782619e-05,0.000537963126857119,,
ын,42,0.00015326509387486999,0.0019421267181030952,,
ип,80,0.00029193351214260954,0.003427904478429123,,
пч,7,2.5544182312478334e-05,0.00038971853973985703,,
бк,28,0.00010217672924991334,0.0013545207004596015,,
ао,10,3.649168901782619e-05,0.000537963126857119,,
ьц,26,9.48783914463481e-05,0.0012679131644241011,,
кс,19,6.933420913386976e-05,0.0009579265036845071,,
цв,17,6.203587133030452e-05,0.0008670467006328512,,
рв,115,0.0004196544237050012,0.004707897596798895,,
сш,29,0.00010582589815169596,0.0013975388901092073,,
чр,14,5.108836462495667e-05,0.0007283487148547574,,
пь,18,6.568504023208714e-05,0.0009126329174190667,,
еу,37,0.0001350192493659569,0.0017356113241565362,,
шь,105,0.000383162734687175,0.004348803211360889,,
юс,52,0.0001897567828926962,0.0023460695459555057,,
хи,86,0.00031382852555330524,0.0036522534942004916,,
нз,10,3.649168901782619e-05,0.000537963126857119,,
тю,15,5.473753352673928e-05,0.0007749252857905688,,
юл,10,3.649168901782619e-05,0.000537963126857119,,
ьп,4,1.4596675607130476e-05,0.00023448100631987042,,
ык,48,0.0001751601072855657,0.002185829659597397,,
зк,33,0.00012042257375882643,0.00156785452674955,,
пк,28,0.00010217672924991334,0.0013545207004596015,,
ау,17,6.203587133030452e-05,0.0008670467006328512,,
мп,54,0.00019705512069626143,0.0024255737753785447,,
мк,36,0.0001313700804641743,0.0016938957543739593,,
дж,22,8.028171583921761e-05,0.0010921981444258605,,
ып,47,0.0001715109383837831,0.0021455009547387115,,
йя,1,3.649168901782619e-06,6.591858938353284e-05,,
уя,21,7.663254693743499e-05,0.0010476959059889826,,
мт,18,6.568504023208714e-05,0.0009126329174190667,,
шв,27,9.852756034813072e-05,0.001311314448037403,,
ео,52,0.0001897567828926962,0.0023460695459555057,,
дх,8,2.919335121426095e-05,0.0004397686614254798,,
